variable,fuente,variable_origen,bloque,dimension,descripcion,unidad,denominador,justificacion,limitaciones
sobreedad__3_anos_o_mas_de_sobreedad_20_anos_o_mas_30jun,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",sobreedad_3_anos_o_mas_de_sobreedad_20_anos_o_mas_30jun,sobreedad,trayectoria,Años de atraso respecto de la edad teorica del año que cursa (17 años al 30 de junio para 5to/6to). Categoria: 3 anos o mas de sobreedad 20 anos o mas 30jun.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'sobreedad' (ver cob__sobreedad),Pedida por la consigna y una de las señales de riesgo mas directas: el atraso escolar acumulado precede al abandono.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
repitencia__repitio_1_vez,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",repitencia_repitio_1_vez,repitencia,trayectoria,Cantidad de veces que repitio de año. Categoria: repitio 1 vez.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'repitencia' (ver cob__repitencia),"NO la pide la consigna. Se incorpora por criterio del equipo: el Ministerio publica repitencia junto a abandono interanual en su dataset Indicadores Educativos, lo que sugiere que las trata como la misma familia. A VALIDAR empiricamente en el TP2.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
repitencia__repitio_2_veces_o_mas,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",repitencia_repitio_2_veces_o_mas,repitencia,trayectoria,Cantidad de veces que repitio de año. Categoria: repitio 2 veces o mas.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'repitencia' (ver cob__repitencia),"NO la pide la consigna. Se incorpora por criterio del equipo: el Ministerio publica repitencia junto a abandono interanual en su dataset Indicadores Educativos, lo que sugiere que las trata como la misma familia. A VALIDAR empiricamente en el TP2.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
repitencia__nunca_repitio,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",repitencia_nunca_repitio,repitencia,trayectoria,Cantidad de veces que repitio de año. Categoria: nunca repitio.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'repitencia' (ver cob__repitencia),"NO la pide la consigna. Se incorpora por criterio del equipo: el Ministerio publica repitencia junto a abandono interanual en su dataset Indicadores Educativos, lo que sugiere que las trata como la misma familia. A VALIDAR empiricamente en el TP2.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
migracion__configuracion_familiar_migrante,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",migracion_configuracion_familiar_migrante,migracion,hogar,Configuracion familiar migrante o no migrante. Categoria: configuracion familiar migrante.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'migracion' (ver cob__migracion),"NO la pide la consigna. Incorporada por criterio del equipo, sin respaldo empirico todavia. A VALIDAR en el TP2; si no aporta, se saca.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
migracion__configuracion_familiar_no_migrante,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",migracion_configuracion_familiar_no_migrante,migracion,hogar,Configuracion familiar migrante o no migrante. Categoria: configuracion familiar no migrante.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'migracion' (ver cob__migracion),"NO la pide la consigna. Incorporada por criterio del equipo, sin respaldo empirico todavia. A VALIDAR en el TP2; si no aporta, se saca.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
clima_escolar__bajo,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",clima_bajo,clima_escolar,escuela,Indice de clima escolar construido por el Ministerio (bajo / medio / alto). Categoria: bajo.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'clima_escolar' (ver cob__clima_escolar),"NO la pide la consigna. Incorporada por criterio del equipo. ATENCION: es el unico bloque con datos faltantes (96 de 1.174 filas sin dato, cobertura mediana 87,3%). A VALIDAR en el TP2.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
clima_escolar__medio,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",clima_medio,clima_escolar,escuela,Indice de clima escolar construido por el Ministerio (bajo / medio / alto). Categoria: medio.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'clima_escolar' (ver cob__clima_escolar),"NO la pide la consigna. Incorporada por criterio del equipo. ATENCION: es el unico bloque con datos faltantes (96 de 1.174 filas sin dato, cobertura mediana 87,3%). A VALIDAR en el TP2.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
clima_escolar__alto,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",clima_alto,clima_escolar,escuela,Indice de clima escolar construido por el Ministerio (bajo / medio / alto). Categoria: alto.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'clima_escolar' (ver cob__clima_escolar),"NO la pide la consigna. Incorporada por criterio del equipo. ATENCION: es el unico bloque con datos faltantes (96 de 1.174 filas sin dato, cobertura mediana 87,3%). A VALIDAR en el TP2.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
nse__q1,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",NSE_nivel_q1,nse,hogar,"Quintil de nivel socioeconomico del estudiante, calculado por el Ministerio (Q1 el mas bajo, Q5 el mas alto). Categoria: q1.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'nse' (ver cob__nse),"Pedida por la consigna. Es el resumen socioeconomico que la propia fuente construye, y sirve de contraste contra los indicadores que trajimos de la EPH.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
nse__q2,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",NSE_nivel_q2,nse,hogar,"Quintil de nivel socioeconomico del estudiante, calculado por el Ministerio (Q1 el mas bajo, Q5 el mas alto). Categoria: q2.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'nse' (ver cob__nse),"Pedida por la consigna. Es el resumen socioeconomico que la propia fuente construye, y sirve de contraste contra los indicadores que trajimos de la EPH.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
nse__q3,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",NSE_nivel_q3,nse,hogar,"Quintil de nivel socioeconomico del estudiante, calculado por el Ministerio (Q1 el mas bajo, Q5 el mas alto). Categoria: q3.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'nse' (ver cob__nse),"Pedida por la consigna. Es el resumen socioeconomico que la propia fuente construye, y sirve de contraste contra los indicadores que trajimos de la EPH.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
nse__q4,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",NSE_nivel_q4,nse,hogar,"Quintil de nivel socioeconomico del estudiante, calculado por el Ministerio (Q1 el mas bajo, Q5 el mas alto). Categoria: q4.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'nse' (ver cob__nse),"Pedida por la consigna. Es el resumen socioeconomico que la propia fuente construye, y sirve de contraste contra los indicadores que trajimos de la EPH.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
nse__q5,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",NSE_nivel_q5,nse,hogar,"Quintil de nivel socioeconomico del estudiante, calculado por el Ministerio (Q1 el mas bajo, Q5 el mas alto). Categoria: q5.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'nse' (ver cob__nse),"Pedida por la consigna. Es el resumen socioeconomico que la propia fuente construye, y sirve de contraste contra los indicadores que trajimos de la EPH.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
educ_madre__no_fue_a_la_escuela,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",Nivel_Ed_Madre_no_fue_a_la_escuela,educ_madre,hogar,Maximo nivel educativo alcanzado por la madre. Categoria: no fue a la escuela.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'educ_madre' (ver cob__educ_madre),Pedida por la consigna. El nivel educativo materno es de los predictores mas usados del rendimiento.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
educ_madre__primaria_incompleto,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",Nivel_Ed_Madre_primaria_incompleto,educ_madre,hogar,Maximo nivel educativo alcanzado por la madre. Categoria: primaria incompleto.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'educ_madre' (ver cob__educ_madre),Pedida por la consigna. El nivel educativo materno es de los predictores mas usados del rendimiento.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
educ_madre__primaria_completo,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",Nivel_Ed_Madre_primaria_completo,educ_madre,hogar,Maximo nivel educativo alcanzado por la madre. Categoria: primaria completo.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'educ_madre' (ver cob__educ_madre),Pedida por la consigna. El nivel educativo materno es de los predictores mas usados del rendimiento.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
educ_madre__secundaria_incompleto,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",Nivel_Ed_Madre_secundaria_incompleto,educ_madre,hogar,Maximo nivel educativo alcanzado por la madre. Categoria: secundaria incompleto.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'educ_madre' (ver cob__educ_madre),Pedida por la consigna. El nivel educativo materno es de los predictores mas usados del rendimiento.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
educ_madre__secundaria_completo,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",Nivel_Ed_Madre_secundaria_completo,educ_madre,hogar,Maximo nivel educativo alcanzado por la madre. Categoria: secundaria completo.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'educ_madre' (ver cob__educ_madre),Pedida por la consigna. El nivel educativo materno es de los predictores mas usados del rendimiento.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
educ_madre__terciariouniversitarioposgrado_incompleto,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",Nivel_Ed_Madre_terciariouniversitarioposgrado_incompleto,educ_madre,hogar,Maximo nivel educativo alcanzado por la madre. Categoria: terciariouniversitarioposgrado incompleto.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'educ_madre' (ver cob__educ_madre),Pedida por la consigna. El nivel educativo materno es de los predictores mas usados del rendimiento.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
educ_madre__terciariouniversitarioposgrado_completo,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",Nivel_Ed_Madre_terciariouniversitarioposgrado_completo,educ_madre,hogar,Maximo nivel educativo alcanzado por la madre. Categoria: terciariouniversitarioposgrado completo.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'educ_madre' (ver cob__educ_madre),Pedida por la consigna. El nivel educativo materno es de los predictores mas usados del rendimiento.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
educ_padre__no_fue_a_la_escuela,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",Nivel_Ed_Padre_no_fue_a_la_escuela,educ_padre,hogar,Maximo nivel educativo alcanzado por el padre. Categoria: no fue a la escuela.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'educ_padre' (ver cob__educ_padre),"Pedida por la consigna. Se conserva pese a tener cobertura menor que la de la madre (90,4% contra 100%): ese hueco es en si mismo informacion sobre la composicion del hogar.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
educ_padre__primaria_incompleto,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",Nivel_Ed_Padre_primaria_incompleto,educ_padre,hogar,Maximo nivel educativo alcanzado por el padre. Categoria: primaria incompleto.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'educ_padre' (ver cob__educ_padre),"Pedida por la consigna. Se conserva pese a tener cobertura menor que la de la madre (90,4% contra 100%): ese hueco es en si mismo informacion sobre la composicion del hogar.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
educ_padre__primaria_completo,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",Nivel_Ed_Padre_primaria_completo,educ_padre,hogar,Maximo nivel educativo alcanzado por el padre. Categoria: primaria completo.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'educ_padre' (ver cob__educ_padre),"Pedida por la consigna. Se conserva pese a tener cobertura menor que la de la madre (90,4% contra 100%): ese hueco es en si mismo informacion sobre la composicion del hogar.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
educ_padre__secundaria_incompleto,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",Nivel_Ed_Padre_secundaria_incompleto,educ_padre,hogar,Maximo nivel educativo alcanzado por el padre. Categoria: secundaria incompleto.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'educ_padre' (ver cob__educ_padre),"Pedida por la consigna. Se conserva pese a tener cobertura menor que la de la madre (90,4% contra 100%): ese hueco es en si mismo informacion sobre la composicion del hogar.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
educ_padre__secundaria_completo,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",Nivel_Ed_Padre_secundaria_completo,educ_padre,hogar,Maximo nivel educativo alcanzado por el padre. Categoria: secundaria completo.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'educ_padre' (ver cob__educ_padre),"Pedida por la consigna. Se conserva pese a tener cobertura menor que la de la madre (90,4% contra 100%): ese hueco es en si mismo informacion sobre la composicion del hogar.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
educ_padre__terciariouniversitarioposgrado_incompleto,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",Nivel_Ed_Padre_terciariouniversitarioposgrado_incompleto,educ_padre,hogar,Maximo nivel educativo alcanzado por el padre. Categoria: terciariouniversitarioposgrado incompleto.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'educ_padre' (ver cob__educ_padre),"Pedida por la consigna. Se conserva pese a tener cobertura menor que la de la madre (90,4% contra 100%): ese hueco es en si mismo informacion sobre la composicion del hogar.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
educ_padre__terciariouniversitarioposgrado_completo,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",Nivel_Ed_Padre_terciariouniversitarioposgrado_completo,educ_padre,hogar,Maximo nivel educativo alcanzado por el padre. Categoria: terciariouniversitarioposgrado completo.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'educ_padre' (ver cob__educ_padre),"Pedida por la consigna. Se conserva pese a tener cobertura menor que la de la madre (90,4% contra 100%): ese hueco es en si mismo informacion sobre la composicion del hogar.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
desemp_lengua__por_debajo_del_nivel_basico,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ldesemp_por_debajo_del_nivel_basico,desemp_lengua,desempeño,Nivel de desempeño en Lengua (por debajo del basico / basico / satisfactorio / avanzado). Categoria: por debajo del nivel basico.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'desemp_lengua' (ver cob__desemp_lengua),Pedida por la consigna. Es una de las dos variables de resultado de la evaluacion.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
desemp_lengua__basico,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ldesemp_basico,desemp_lengua,desempeño,Nivel de desempeño en Lengua (por debajo del basico / basico / satisfactorio / avanzado). Categoria: basico.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'desemp_lengua' (ver cob__desemp_lengua),Pedida por la consigna. Es una de las dos variables de resultado de la evaluacion.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
desemp_lengua__satisfactorio,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ldesemp_satisfactorio,desemp_lengua,desempeño,Nivel de desempeño en Lengua (por debajo del basico / basico / satisfactorio / avanzado). Categoria: satisfactorio.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'desemp_lengua' (ver cob__desemp_lengua),Pedida por la consigna. Es una de las dos variables de resultado de la evaluacion.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
desemp_lengua__avanzado,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ldesemp_avanzado,desemp_lengua,desempeño,Nivel de desempeño en Lengua (por debajo del basico / basico / satisfactorio / avanzado). Categoria: avanzado.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'desemp_lengua' (ver cob__desemp_lengua),Pedida por la consigna. Es una de las dos variables de resultado de la evaluacion.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
desemp_matematica__por_debajo_del_nivel_basico,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",mdesemp_por_debajo_del_nivel_basico,desemp_matematica,desempeño,Nivel de desempeño en Matematica. Categoria: por debajo del nivel basico.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'desemp_matematica' (ver cob__desemp_matematica),"Pedida por la consigna. Se toma de la base de Matematica, que tiene su propio factor de expansion.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
desemp_matematica__basico,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",mdesemp_basico,desemp_matematica,desempeño,Nivel de desempeño en Matematica. Categoria: basico.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'desemp_matematica' (ver cob__desemp_matematica),"Pedida por la consigna. Se toma de la base de Matematica, que tiene su propio factor de expansion.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
desemp_matematica__satisfactorio,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",mdesemp_satisfactorio,desemp_matematica,desempeño,Nivel de desempeño en Matematica. Categoria: satisfactorio.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'desemp_matematica' (ver cob__desemp_matematica),"Pedida por la consigna. Se toma de la base de Matematica, que tiene su propio factor de expansion.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
desemp_matematica__avanzado,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",mdesemp_avanzado,desemp_matematica,desempeño,Nivel de desempeño en Matematica. Categoria: avanzado.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'desemp_matematica' (ver cob__desemp_matematica),"Pedida por la consigna. Se toma de la base de Matematica, que tiene su propio factor de expansion.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
cob__sexo,derivada,,sexo,calidad,Fraccion de los estudiantes de la fila que quedo representada en el bloque 'sexo'.,proporcion (0 a 1),estudiantes de la fila,"Reemplaza a una tasa de no respuesta que daba 0,00% en los 17 bloques: las columnas Blanco / No_disponible / Multimarca del Ministerio estan vacias en el 100% de sus celdas, asi que no sirven para medir ausencias.","Vale 1,00 en los bloques completos."
cob__tamano_hogar,derivada,,tamano_hogar,calidad,Fraccion de los estudiantes de la fila que quedo representada en el bloque 'tamano_hogar'.,proporcion (0 a 1),estudiantes de la fila,"Reemplaza a una tasa de no respuesta que daba 0,00% en los 17 bloques: las columnas Blanco / No_disponible / Multimarca del Ministerio estan vacias en el 100% de sus celdas, asi que no sirven para medir ausencias.","Vale 1,00 en los bloques completos."
cob__libros_hogar,derivada,,libros_hogar,calidad,Fraccion de los estudiantes de la fila que quedo representada en el bloque 'libros_hogar'.,proporcion (0 a 1),estudiantes de la fila,"Reemplaza a una tasa de no respuesta que daba 0,00% en los 17 bloques: las columnas Blanco / No_disponible / Multimarca del Ministerio estan vacias en el 100% de sus celdas, asi que no sirven para medir ausencias.","Vale 1,00 en los bloques completos."
cob__asistio_jardin,derivada,,asistio_jardin,calidad,Fraccion de los estudiantes de la fila que quedo representada en el bloque 'asistio_jardin'.,proporcion (0 a 1),estudiantes de la fila,"Reemplaza a una tasa de no respuesta que daba 0,00% en los 17 bloques: las columnas Blanco / No_disponible / Multimarca del Ministerio estan vacias en el 100% de sus celdas, asi que no sirven para medir ausencias.","Vale 1,00 en los bloques completos."
cob__inasistencias,derivada,,inasistencias,calidad,Fraccion de los estudiantes de la fila que quedo representada en el bloque 'inasistencias'.,proporcion (0 a 1),estudiantes de la fila,"Reemplaza a una tasa de no respuesta que daba 0,00% en los 17 bloques: las columnas Blanco / No_disponible / Multimarca del Ministerio estan vacias en el 100% de sus celdas, asi que no sirven para medir ausencias.","Vale 1,00 en los bloques completos."
cob__horas_estudio,derivada,,horas_estudio,calidad,Fraccion de los estudiantes de la fila que quedo representada en el bloque 'horas_estudio'.,proporcion (0 a 1),estudiantes de la fila,"Reemplaza a una tasa de no respuesta que daba 0,00% en los 17 bloques: las columnas Blanco / No_disponible / Multimarca del Ministerio estan vacias en el 100% de sus celdas, asi que no sirven para medir ausencias.","Vale 1,00 en los bloques completos."
cob__edad,derivada,,edad,calidad,Fraccion de los estudiantes de la fila que quedo representada en el bloque 'edad'.,proporcion (0 a 1),estudiantes de la fila,"Reemplaza a una tasa de no respuesta que daba 0,00% en los 17 bloques: las columnas Blanco / No_disponible / Multimarca del Ministerio estan vacias en el 100% de sus celdas, asi que no sirven para medir ausencias.","Vale 1,00 en los bloques completos."
cob__sobreedad,derivada,,sobreedad,calidad,Fraccion de los estudiantes de la fila que quedo representada en el bloque 'sobreedad'.,proporcion (0 a 1),estudiantes de la fila,"Reemplaza a una tasa de no respuesta que daba 0,00% en los 17 bloques: las columnas Blanco / No_disponible / Multimarca del Ministerio estan vacias en el 100% de sus celdas, asi que no sirven para medir ausencias.","Vale 1,00 en los bloques completos."
cob__repitencia,derivada,,repitencia,calidad,Fraccion de los estudiantes de la fila que quedo representada en el bloque 'repitencia'.,proporcion (0 a 1),estudiantes de la fila,"Reemplaza a una tasa de no respuesta que daba 0,00% en los 17 bloques: las columnas Blanco / No_disponible / Multimarca del Ministerio estan vacias en el 100% de sus celdas, asi que no sirven para medir ausencias.","Vale 1,00 en los bloques completos."
cob__migracion,derivada,,migracion,calidad,Fraccion de los estudiantes de la fila que quedo representada en el bloque 'migracion'.,proporcion (0 a 1),estudiantes de la fila,"Reemplaza a una tasa de no respuesta que daba 0,00% en los 17 bloques: las columnas Blanco / No_disponible / Multimarca del Ministerio estan vacias en el 100% de sus celdas, asi que no sirven para medir ausencias.","Vale 1,00 en los bloques completos."
cob__clima_escolar,derivada,,clima_escolar,calidad,Fraccion de los estudiantes de la fila que quedo representada en el bloque 'clima_escolar'.,proporcion (0 a 1),estudiantes de la fila,"Reemplaza a una tasa de no respuesta que daba 0,00% en los 17 bloques: las columnas Blanco / No_disponible / Multimarca del Ministerio estan vacias en el 100% de sus celdas, asi que no sirven para medir ausencias.","Vale 1,00 en los bloques completos."
cob__nse,derivada,,nse,calidad,Fraccion de los estudiantes de la fila que quedo representada en el bloque 'nse'.,proporcion (0 a 1),estudiantes de la fila,"Reemplaza a una tasa de no respuesta que daba 0,00% en los 17 bloques: las columnas Blanco / No_disponible / Multimarca del Ministerio estan vacias en el 100% de sus celdas, asi que no sirven para medir ausencias.","Vale 1,00 en los bloques completos."
cob__educ_madre,derivada,,educ_madre,calidad,Fraccion de los estudiantes de la fila que quedo representada en el bloque 'educ_madre'.,proporcion (0 a 1),estudiantes de la fila,"Reemplaza a una tasa de no respuesta que daba 0,00% en los 17 bloques: las columnas Blanco / No_disponible / Multimarca del Ministerio estan vacias en el 100% de sus celdas, asi que no sirven para medir ausencias.","Vale 1,00 en los bloques completos."
cob__educ_padre,derivada,,educ_padre,calidad,Fraccion de los estudiantes de la fila que quedo representada en el bloque 'educ_padre'.,proporcion (0 a 1),estudiantes de la fila,"Reemplaza a una tasa de no respuesta que daba 0,00% en los 17 bloques: las columnas Blanco / No_disponible / Multimarca del Ministerio estan vacias en el 100% de sus celdas, asi que no sirven para medir ausencias.","Vale 1,00 en los bloques completos."
cob__desemp_lengua,derivada,,desemp_lengua,calidad,Fraccion de los estudiantes de la fila que quedo representada en el bloque 'desemp_lengua'.,proporcion (0 a 1),estudiantes de la fila,"Reemplaza a una tasa de no respuesta que daba 0,00% en los 17 bloques: las columnas Blanco / No_disponible / Multimarca del Ministerio estan vacias en el 100% de sus celdas, asi que no sirven para medir ausencias.","Vale 1,00 en los bloques completos."
cob__desemp_matematica,derivada,,desemp_matematica,calidad,Fraccion de los estudiantes de la fila que quedo representada en el bloque 'desemp_matematica'.,proporcion (0 a 1),estudiantes de la fila,"Reemplaza a una tasa de no respuesta que daba 0,00% en los 17 bloques: las columnas Blanco / No_disponible / Multimarca del Ministerio estan vacias en el 100% de sus celdas, asi que no sirven para medir ausencias.","Vale 1,00 en los bloques completos."
flag_discrepancia_bases,derivada,,calidad,calidad,Marca las filas donde las bases de Lengua y Matematica difieren mas de 10% en su total.,booleano,,Permite repetir cualquier analisis sin esas filas y comprobar que el resultado no cambia.,Marca 5 filas de 1.174.
eph_no_asiste_12_18,"EPH INDEC, 3er trimestre 2025 (bases Hogar e Individual)",,contexto socioeconomico,contexto,% de personas de 12 a 18 años que no asiste a un establecimiento educativo (CH10 = 2 'no asiste pero asistio' o 3 'nunca asistio'). Es el proxy mas directo de abandono escolar disponible en la EPH.,proporcion (0 a 1),poblacion de la provincia (ver descripcion),"Aporta el contexto socioeconomico que Aprender no tiene, al unico nivel geografico donde las dos fuentes se encuentran.",Es un valor provincial: TODOS los departamentos de una provincia comparten el mismo numero.
